,Unnamed: 0.1,City,State,Zip3,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014
0,0.0,MELVILLE,NY,5,Nassau County,4.0     ,3.7     ,3.7,4.7,6.9,7.1,6.8,7.0,5.9,4.8
1,4.0,SAN JUAN,PR,6,San Juan Municipio,8.0     ,7.3     ,8.1,8.7,11.1,10.3,10.0,9.0,8.3,8.3
2,5.0,SAN JUAN,PR,7,San Juan Municipio,8.0     ,7.3     ,8.1,8.7,11.1,10.3,10.0,9.0,8.3,8.3
3,6.0,SAN JUAN,PR,8,San Juan Municipio,8.0     ,7.3     ,8.1,8.7,11.1,10.3,10.0,9.0,8.3,8.3
4,7.0,SAN JUAN,PR,9,San Juan Municipio,8.0     ,7.3     ,8.1,8.7,11.1,10.3,10.0,9.0,8.3,8.3
5,8.0,SPRINGFIELD,MA,10,Hampden County,5.8     ,6.0     ,5.7,6.7,9.3,10.4,9.5,8.8,9.1,7.8
6,9.0,SPRINGFIELD,MA,11,Hampden County,5.8     ,6.0     ,5.7,6.7,9.3,10.4,9.5,8.8,9.1,7.8
7,10.0,SPRINGFIELD,MA,12,Hampden County,5.8     ,6.0     ,5.7,6.7,9.3,10.4,9.5,8.8,9.1,7.8
8,11.0,SPRINGFIELD,MA,13,Hampden County,5.8     ,6.0     ,5.7,6.7,9.3,10.4,9.5,8.8,9.1,7.8
9,12.0,SHREWSBURY,MA,14,Worcester County,5.2     ,5.3     ,5.1,6.0,8.9,8.9,7.8,7.2,7.3,6.2
10,13.0,SHREWSBURY,MA,15,Worcester County,5.2     ,5.3     ,5.1,6.0,8.9,8.9,7.8,7.2,7.3,6.2
11,14.0,SHREWSBURY,MA,16,Worcester County,5.2     ,5.3     ,5.1,6.0,8.9,8.9,7.8,7.2,7.3,6.2
12,15.0,SHREWSBURY,MA,17,Worcester County,5.2     ,5.3     ,5.1,6.0,8.9,8.9,7.8,7.2,7.3,6.2
13,16.0,NORTH READING,MA,18,Middlesex County,4.1     ,4.1     ,3.8,4.5,6.9,6.9,5.9,5.4,5.5,4.6
14,17.0,NORTH READING,MA,19,Middlesex County,4.1     ,4.1     ,3.8,4.5,6.9,6.9,5.9,5.4,5.5,4.6
15,19.0,BROCKTON,MA,20,Plymouth County,4.9     ,5.0     ,4.9,5.9,8.5,9.0,7.8,7.1,7.0,6.0
16,21.0,BOSTON,MA,21,Suffolk County,5.3     ,5.1     ,4.6,5.4,7.7,7.7,6.7,6.2,6.3,5.4
17,22.0,BOSTON,MA,22,Suffolk County,5.3     ,5.1     ,4.6,5.4,7.7,7.7,6.7,6.2,6.3,5.4
18,20.0,BROCKTON,MA,23,Plymouth County,4.9     ,5.0     ,4.9,5.9,8.5,9.0,7.8,7.1,7.0,6.0
19,23.0,WALTHAM,MA,24,Middlesex County,4.1     ,4.1     ,3.8,4.5,6.9,6.9,5.9,5.4,5.5,4.6
20,24.0,WAREHAM,MA,25,Plymouth County,4.9     ,5.0     ,4.9,5.9,8.5,9.0,7.8,7.1,7.0,6.0
21,25.0,WAREHAM,MA,26,Plymouth County,4.9     ,5.0     ,4.9,5.9,8.5,9.0,7.8,7.1,7.0,6.0
22,26.0,PROVIDENCE,RI,27,Providence County,5.4     ,5.3     ,5.6,8.4,11.9,11.9,11.8,11.0,9.8,8.2
23,27.0,PROVIDENCE,RI,28,Providence County,5.4     ,5.3     ,5.6,8.4,11.9,11.9,11.8,11.0,9.8,8.2
24,28.0,PROVIDENCE,RI,29,Providence County,5.4     ,5.3     ,5.6,8.4,11.9,11.9,11.8,11.0,9.8,8.2
25,29.0,MANCHESTER,NH,30,Hillsborough County,3.6     ,3.6     ,3.5,3.9,6.5,6.1,5.6,5.8,5.3,4.5
26,30.0,MANCHESTER,NH,31,Hillsborough County,3.6     ,3.6     ,3.5,3.9,6.5,6.1,5.6,5.8,5.3,4.5
27,31.0,MANCHESTER,NH,32,Hillsborough County,3.6     ,3.6     ,3.5,3.9,6.5,6.1,5.6,5.8,5.3,4.5
